Property_ID,Latitude,Longitude,Property_Price,Property_Size_sqft,Bedrooms,Bathrooms,Property_Type,Transaction_Type,Consumer_Income,Consumer_Age,Purchase_Score,Distance_to_City_km,Region
21,8.688552,78.188787,244877,3341,3,4,Apartment,Rent,46866,38,7.19,35.71,North
22,9.98296,79.447392,149876,1206,3,1,Villa,Sale,120099,25,9.77,35.66,East
23,12.536417,77.597963,383279,841,2,1,House,Rent,45518,57,7.78,39.74,East
24,12.126984,78.812931,492477,2359,3,4,House,Rent,58580,62,2.69,26.52,West
25,8.415384,79.987506,492328,3121,2,2,Villa,Rent,52560,47,5.59,14.92,West
26,11.982085,77.411317,442215,1385,3,2,Villa,Rent,91154,62,3.94,44.19,North
27,11.968041,78.664214,230711,1722,1,2,Apartment,Sale,47007,26,5.58,11.61,North
28,10.086985,76.679966,278370,1413,5,3,House,Rent,67648,21,6.3,8.07,East
29,8.299024,78.511124,401516,2587,1,2,House,Rent,55548,60,7.64,16.9,South
30,12.422152,77.07365,393022,779,2,3,Villa,Sale,71177,43,6.23,28.97,West
31,8.648145,79.005613,98251,1820,5,4,Villa,Sale,67994,53,4.68,3.7,South
32,11.573998,79.786137,62802,2067,3,3,Villa,Sale,37805,24,9.19,31.19,North
33,10.305157,76.498146,175579,2369,1,2,Villa,Sale,142069,47,6.41,37.56,North
34,12.642541,77.096672,122478,3714,3,1,Villa,Sale,37475,52,3.43,27.88,North
35,11.238951,79.96805,382037,1081,1,1,Villa,Sale,118594,69,4.98,47.46,East
36,8.448131,78.130015,358832,916,2,4,House,Sale,81348,36,9.12,32.85,West
37,10.42624,78.754921,134846,563,5,3,Villa,Rent,149121,42,3.01,26.46,North
38,11.068803,78.145685,321305,1633,1,4,Villa,Rent,72980,52,3.27,48.21,East
39,12.00091,78.26687,256053,3604,5,3,Apartment,Rent,41739,64,3.23,40.62,West
40,11.17512,77.631227,395810,1053,5,1,House,Sale,147237,44,2.26,40.45,South
41,9.524611,76.158615,435611,1470,2,4,Apartment,Rent,135100,49,4.83,27.26,North
42,9.579939,78.267249,401065,1696,5,3,Villa,Rent,129829,47,2.13,28.05,East
43,8.612091,76.521709,117183,3255,3,4,House,Sale,24507,22,3.35,21.98,North
44,12.510712,79.968019,328477,3511,4,2,House,Sale,58417,67,5.12,4.8,South
45,9.183095,76.530538,275148,2289,2,2,Villa,Rent,23588,50,1.78,22.55,East
46,8.539137,76.479293,84881,2187,1,2,Villa,Rent,99654,38,5.89,19.14,North
47,11.400002,76.208266,475630,2648,3,4,Villa,Rent,23560,42,8.04,36.83,West
48,12.720845,79.736971,73266,1332,5,2,House,Rent,44227,38,7.81,44.12,South
49,11.648467,76.585272,212151,2808,3,2,Apartment,Rent,112907,64,9.66,24.11,North
50,12.089763,77.549675,88496,3797,4,4,House,Sale,131641,69,8.6,16.19,North
51,12.168373,77.877098,361025,3170,2,2,Apartment,Rent,115976,69,8.28,9.68,North
52,10.01482,77.787259,322194,3389,2,3,Villa,Rent,143670,25,9.32,25.57,East
53,12.621465,79.508153,368257,1170,1,1,House,Rent,36736,57,7.78,17.93,South
54,10.677126,79.041711,100883,3149,1,2,Villa,Rent,34894,35,2.92,13.17,North
55,9.764291,78.536685,94451,1724,4,1,Villa,Rent,50001,68,5.84,36.74,North
56,9.443569,76.356333,109293,756,1,4,Villa,Rent,135200,52,4.99,30.19,West
57,10.892444,76.48124,443769,3547,5,3,Villa,Sale,119733,43,8.98,3.64,South
58,12.298363,77.573214,64698,1519,2,1,House,Rent,149062,63,7.65,1.75,North
59,10.907441,78.704118,321071,1289,1,1,House,Rent,90256,28,6.19,39.68,West
60,10.557189,78.274272,59267,860,1,4,House,Rent,94237,35,8.62,43.83,West
61,10.141204,76.539538,61537,3803,3,1,Villa,Sale,30123,40,9.03,3.01,West
62,11.924102,79.495845,412862,3444,5,3,House,Sale,102297,32,3.91,7.84,West
63,9.103332,76.99706,202947,3646,2,1,Villa,Rent,117200,47,6.59,39.68,North
64,10.579326,79.955885,208013,2117,1,1,House,Sale,24788,28,6.63,10.44,East
65,9.264272,77.634257,135795,2359,5,1,Villa,Sale,27423,56,9.18,37.81,West
66,8.383629,78.800407,126887,2005,1,1,Villa,Rent,71804,37,5.15,43.78,North
67,10.922523,77.731847,168100,2640,3,1,House,Sale,49300,44,2.68,28.67,North
68,10.87679,78.167755,210338,2467,5,1,Apartment,Sale,21075,28,9.95,1.36,West
69,8.137166,76.294476,379167,2132,4,4,Villa,Sale,36151,58,1.09,33.53,West
70,8.588034,76.694749,495259,651,1,1,House,Rent,89292,46,1.25,27.71,West
71,10.668771,77.339015,51008,1938,3,4,Villa,Rent,129518,63,3.7,35.6,South
72,10.010851,78.298394,138560,2883,2,3,Apartment,Sale,62944,38,1.42,18.18,West
73,9.805517,79.721903,64282,3818,2,4,House,Rent,33386,21,5.32,7.82,West
74,12.232249,79.427698,188235,1443,4,2,House,Sale,73139,62,4.61,13.74,South
75,10.202113,76.50863,261268,2292,5,4,House,Rent,93377,34,9.03,46.12,North
76,8.417291,76.061996,477071,2972,4,4,Apartment,Sale,126371,32,1.67,17.83,East
77,11.369628,78.263125,407744,1354,5,1,House,Sale,38310,54,1.88,29.62,North
78,12.918144,79.441457,239501,2767,5,4,Villa,Rent,38786,30,9.41,24.92,East
79,10.563533,76.806261,447612,2029,3,2,Apartment,Rent,46814,34,6.74,36.62,East
80,10.105154,76.051028,64816,3279,3,2,Apartment,Rent,127949,21,3.56,13.0,East
81,11.756141,79.130321,476311,3110,1,3,Apartment,Rent,118125,32,7.09,11.23,West
82,8.452854,76.410044,233461,3512,2,4,Villa,Sale,88973,23,3.82,32.07,East
83,8.909262,76.630025,351012,3044,1,4,Apartment,Sale,64618,67,4.29,43.16,West
84,12.088371,76.851414,357598,2830,3,1,Villa,Rent,51403,57,5.37,47.34,South
85,10.922344,76.721867,192050,2599,2,3,House,Rent,70551,58,8.06,13.02,South
86,10.506905,79.998078,161735,2623,2,1,Villa,Sale,87260,69,9.93,37.5,West
87,12.800923,76.228594,295191,3283,4,1,Apartment,Sale,85056,39,7.18,40.91,West
88,10.054254,78.608802,107704,3998,2,1,Apartment,Rent,22033,42,6.93,3.79,West
89,11.116623,76.925862,499403,2507,5,3,Apartment,Rent,43060,43,4.15,49.2,West
90,12.167572,76.786092,255848,1343,3,4,Apartment,Sale,134224,26,8.53,32.8,South
91,8.117672,78.373547,257738,1686,5,3,Apartment,Rent,58820,35,8.16,29.55,North
92,11.875091,78.145786,265814,3935,1,1,House,Rent,104743,23,4.23,11.46,East
93,9.226232,79.818552,196162,532,2,4,Villa,Rent,34919,66,9.28,21.2,North
94,12.433025,77.302039,378474,3028,4,1,Villa,Sale,44792,67,3.92,4.75,North
95,11.70275,76.317754,442069,1076,4,3,Villa,Rent,110365,57,9.65,44.14,North
96,8.215047,79.268977,210257,2584,1,3,Villa,Sale,68211,48,6.0,24.1,North
97,10.003008,79.356458,141436,2693,4,1,Villa,Rent,50681,27,1.99,3.72,East
98,9.617163,76.204796,207849,2175,4,1,House,Sale,82920,62,7.26,43.97,South
99,9.544624,79.681626,306139,1576,5,3,Apartment,Rent,47002,30,6.94,21.76,North
100,12.23982,77.975574,130470,3367,3,4,House,Sale,133783,38,4.58,20.92,South
101,10.202397,78.468833,330394,2316,2,1,House,Rent,50333,59,4.41,3.14,South
102,11.080631,76.029397,499788,1483,1,2,Villa,Rent,97005,44,8.76,40.62,West
103,8.221751,76.075403,419674,2773,1,4,Villa,Sale,144177,41,4.45,47.0,East
104,9.840562,79.306594,473269,2289,3,3,House,Sale,89383,48,2.37,22.34,North
105,12.073466,79.389031,283277,2088,4,4,House,Rent,94340,40,8.33,16.22,West
106,11.87212,76.06338,467114,2094,3,1,House,Sale,46516,39,3.3,2.76,East
107,10.782702,79.904322,498616,1502,1,4,Apartment,Rent,31799,24,3.28,26.12,South
108,12.302537,77.323452,297409,1332,5,1,Villa,Rent,96890,36,6.7,20.64,East
109,12.766026,79.82346,491165,2543,1,3,House,Rent,62331,58,4.54,29.95,West
110,10.671136,76.652395,481585,2217,5,3,House,Rent,92111,55,4.86,32.51,South
111,10.476586,79.626778,371946,3932,4,4,Apartment,Sale,41700,23,9.66,26.9,South
112,10.57383,76.919055,249135,1161,1,2,House,Sale,67815,34,5.96,26.8,South
113,10.567375,79.586571,398805,2964,1,2,Villa,Sale,117465,52,4.16,28.87,West
114,8.60102,79.142404,271344,2028,5,3,Apartment,Rent,71944,33,1.5,5.97,South
115,12.155249,76.835479,320519,1071,3,1,Villa,Sale,125660,46,8.4,6.89,West
116,11.370542,77.446781,240739,3175,3,3,House,Sale,107900,26,1.8,1.41,East
117,11.716944,78.199625,349950,3589,3,1,Apartment,Rent,82073,58,6.39,12.55,South
118,9.796053,76.84903,218921,2609,4,4,Villa,Sale,144302,50,2.75,15.68,West
119,9.353198,76.96431,263389,641,5,4,Villa,Rent,146069,21,2.14,1.56,South
120,9.253953,79.659013,201740,531,1,4,Apartment,Rent,125041,56,7.86,23.35,East
121,10.715794,79.356404,104882,3904,2,1,Villa,Sale,93078,27,9.82,3.59,East
122,9.408572,78.774682,70040,1824,1,2,House,Sale,27523,35,8.4,10.17,South
123,9.091153,77.667624,104278,3830,5,1,Apartment,Rent,55472,26,6.1,45.18,North
124,8.208928,76.823251,486946,610,3,3,Villa,Sale,139859,36,4.66,11.88,North
125,11.255702,78.087152,406228,2582,1,4,Apartment,Sale,135307,42,9.31,48.24,West
126,8.637723,77.954416,265387,3549,1,2,Villa,Rent,83010,22,9.53,7.6,North
127,11.709857,76.786262,328024,2639,2,2,Apartment,Rent,33135,38,4.36,37.1,South
128,9.389982,78.77151,198233,2085,2,1,House,Rent,70425,21,2.72,11.19,East
129,8.492925,79.576209,279631,1499,5,4,House,Sale,85949,50,9.33,34.06,East
130,8.795518,78.649944,67114,1844,1,1,Apartment,Sale,114848,46,6.12,31.27,West
131,8.901647,79.965064,462138,918,3,4,House,Rent,130106,68,8.48,41.12,West
132,10.843261,77.785527,407438,3048,4,2,House,Rent,64810,56,5.74,4.95,West
133,8.276184,78.282475,218291,3910,3,2,Villa,Sale,103094,24,6.29,7.57,South
134,10.917653,76.937217,374784,683,4,3,House,Sale,133715,62,5.15,15.04,West
135,10.287118,76.661409,273340,3036,5,3,House,Sale,125842,68,2.02,13.77,West
136,10.993658,76.988543,466076,3432,4,4,Villa,Rent,72271,69,5.12,37.12,North
137,10.055263,79.822774,447298,1633,4,3,Apartment,Rent,103441,35,6.94,28.2,East
138,10.27709,77.029739,201185,3383,5,4,Villa,Sale,72412,24,6.03,19.35,South
139,11.160049,79.814156,177970,1674,2,3,House,Sale,24873,58,5.99,17.89,South
140,10.394968,77.805694,396567,1475,2,2,Apartment,Sale,84093,34,5.47,29.7,South
141,10.828168,77.181464,332509,2952,2,3,Apartment,Sale,104810,70,5.81,46.08,South
142,12.167921,77.573504,69524,1410,5,2,Apartment,Sale,134672,44,6.24,43.63,South
143,10.344203,78.742461,360471,2394,1,3,Villa,Sale,141452,62,2.78,11.2,South
144,9.554637,77.675613,86515,1594,3,4,Villa,Sale,40004,43,4.14,11.5,East
145,8.870739,76.807767,178853,2835,4,4,Villa,Rent,114250,56,5.3,29.38,East
146,8.719754,76.696805,354801,3001,2,3,House,Rent,24952,39,4.07,30.93,South
147,8.280033,76.811625,215186,2143,2,1,Villa,Rent,147426,29,5.51,21.47,South
148,10.22483,78.002062,465058,891,5,3,Apartment,Rent,54876,62,1.59,10.41,South
149,8.313162,79.681046,221444,3850,3,4,House,Sale,29536,41,9.5,3.35,North
150,10.929066,76.202972,124925,2660,2,2,House,Rent,64821,68,7.52,2.31,North
151,12.201732,79.336117,80495,3854,4,4,House,Sale,52296,35,5.4,9.6,East
152,11.837147,78.081911,129730,1571,4,3,Apartment,Rent,115444,55,6.19,5.7,East
153,11.935472,77.697422,111304,2045,4,2,Villa,Sale,90029,67,7.73,8.7,East
154,9.124083,79.847949,320939,3357,4,3,House,Sale,114712,38,8.0,47.27,East
155,12.951933,78.595181,297441,3713,1,3,Apartment,Sale,23365,29,8.24,19.34,East
156,10.175018,76.151908,171333,740,1,2,Apartment,Rent,48074,35,3.38,32.58,South
157,11.455981,77.306678,161282,803,3,1,Apartment,Sale,142464,26,4.45,26.01,North
158,8.867558,79.070641,104065,1681,5,3,Villa,Rent,117730,57,7.52,37.84,West
159,10.437527,79.058563,80579,1250,1,1,Apartment,Sale,144529,70,9.96,5.73,North
160,12.105254,76.84033,444648,1230,5,2,Apartment,Rent,52014,28,2.81,28.82,South
161,8.009891,77.757772,343363,571,4,2,Villa,Rent,111326,58,1.82,16.4,West
162,11.266869,78.775891,182459,1874,2,4,House,Sale,32075,47,7.75,24.01,East
163,9.174396,76.12265,499939,1862,1,3,House,Sale,61124,69,1.6,10.44,West
164,9.603279,79.434422,176314,2248,2,4,Apartment,Sale,111895,44,9.85,13.16,East
165,12.348356,78.16888,400286,3331,2,3,Villa,Sale,40750,36,5.8,48.21,North
166,11.330863,79.45017,359774,815,4,2,Villa,Rent,42477,58,7.72,10.19,West
167,11.163672,76.332245,235728,744,4,1,Apartment,Rent,113842,34,8.36,15.52,South
168,10.135994,79.082249,316858,709,5,1,Villa,Rent,24796,41,3.14,4.66,East
169,10.955417,77.157738,304489,3408,4,1,Villa,Rent,48763,25,1.57,13.37,West
170,11.986658,78.5451,301625,3531,2,3,House,Rent,76581,52,1.75,11.63,West
171,8.374293,77.33696,461075,3158,3,1,Apartment,Rent,100763,58,6.35,44.89,East
172,10.76972,78.217731,353856,1646,4,3,Villa,Sale,36230,44,5.88,4.91,North
173,10.762216,79.270082,269726,3875,3,1,Apartment,Rent,44041,43,9.4,2.28,South
174,9.969768,77.352768,206557,1322,4,3,Villa,Rent,106607,32,7.83,9.81,North
175,9.725005,76.086417,171936,539,4,3,House,Rent,98777,53,1.18,29.11,East
176,12.349213,76.84259,271547,2973,2,1,House,Rent,134112,29,7.61,24.56,East
177,8.837276,76.510134,139214,2600,4,3,Apartment,Rent,72236,25,6.33,24.82,West
178,8.198726,79.460214,352924,2175,5,4,House,Sale,38494,44,1.28,39.37,North
179,9.32267,79.96635,101351,1121,5,2,Villa,Sale,101387,46,3.22,46.76,West
180,8.769639,77.585319,190428,1128,3,4,Villa,Rent,33196,53,9.98,9.53,West
181,9.523688,79.897723,370403,1274,3,1,Apartment,Sale,121120,51,1.75,4.08,South
182,8.9419,79.782042,369390,1053,2,3,House,Sale,59262,68,6.61,14.5,East
183,11.102311,78.132021,296461,1554,1,4,House,Rent,33288,46,3.26,27.02,East
184,9.106483,76.291672,64796,2344,2,3,Villa,Rent,148504,55,4.43,12.42,South
185,11.140147,79.175344,91400,647,3,1,Apartment,Rent,145247,61,4.33,17.91,West
186,9.438911,79.139279,394024,1307,3,4,Apartment,Rent,58242,24,1.9,20.12,East
187,11.311209,78.227282,265767,880,1,4,Apartment,Rent,63357,37,3.05,40.04,East
188,11.990319,77.234777,71374,2915,1,1,Villa,Sale,130154,53,3.91,20.61,North
189,12.024048,78.677784,274302,1380,3,2,Apartment,Rent,77812,66,2.06,47.95,South
190,9.067319,78.272527,384135,2606,2,1,Villa,Rent,31164,68,6.78,6.08,East
191,8.116595,77.252138,459425,1499,3,4,Apartment,Sale,30010,34,7.0,49.83,North
192,12.277477,78.859622,347668,2137,5,2,House,Sale,72330,30,8.54,19.98,East
193,11.694223,77.195715,124947,609,5,2,House,Rent,46643,43,7.81,36.6,North
194,9.937946,76.331234,388547,561,4,2,House,Rent,44942,60,8.65,4.11,North
195,11.487874,78.304497,442544,1399,4,1,House,Rent,128863,69,2.69,40.94,West
196,10.863034,76.840334,145867,3777,1,4,Apartment,Rent,92676,42,4.93,9.88,West
197,8.860597,78.015461,197227,2626,4,4,Villa,Rent,88704,27,7.77,43.03,North
198,11.469495,77.374528,188857,607,4,4,Apartment,Rent,32582,45,5.65,37.22,North
199,9.91456,76.045063,495231,3824,2,4,House,Sale,38443,67,7.41,16.47,West
200,11.016254,76.233976,73347,2984,4,1,Villa,Sale,39438,46,8.91,43.45,West
201,11.459361,77.356804,122559,3781,2,3,Villa,Rent,149970,62,3.51,44.34,North
202,9.961315,77.031529,312691,934,5,3,Villa,Rent,63431,28,1.97,4.1,South
203,10.836257,77.22641,417077,3485,4,3,Villa,Sale,93496,69,4.58,40.43,West
204,11.822758,78.542988,330781,3099,1,2,House,Rent,33569,51,7.3,18.09,South
205,11.249231,76.443639,145021,3030,4,4,House,Rent,73675,22,6.4,11.7,East
206,9.65714,79.388882,67311,2513,2,3,Villa,Sale,100539,61,9.51,33.13,South
207,11.752336,77.333232,107933,1745,5,3,House,Rent,114851,44,5.45,2.41,West
208,10.261483,77.283262,297512,1601,2,3,Apartment,Sale,102109,39,6.59,26.45,North
209,11.698999,78.93168,434301,538,1,4,Villa,Sale,139702,31,5.05,48.92,South
210,8.085231,77.747633,159663,1622,1,1,Apartment,Rent,149889,24,7.84,8.99,West
211,11.635075,78.576066,128464,782,3,3,House,Rent,22029,60,9.03,37.45,East
212,11.077811,77.403793,483815,1199,1,2,Villa,Rent,111263,53,7.97,14.07,East
213,9.331745,79.336482,412118,2311,1,2,House,Sale,114278,32,3.75,18.68,East
214,9.305589,77.020517,272324,3285,1,1,Apartment,Rent,85757,67,6.11,8.55,North
215,9.261616,78.62847,212630,3506,2,4,Villa,Rent,79205,42,7.95,16.25,East
216,11.065391,76.547878,58188,616,4,2,House,Sale,126679,61,3.36,31.24,North
217,8.128375,77.339046,138909,902,5,2,Apartment,Rent,129347,24,6.44,6.24,West
218,9.229537,76.05032,203429,3479,4,1,Villa,Sale,75184,49,5.33,36.48,South
219,9.162965,79.026759,336776,2969,1,2,House,Rent,100362,49,8.15,37.9,East
220,8.158437,78.859871,70278,1599,3,4,Apartment,Sale,109132,69,6.29,29.35,East
221,10.530541,78.02684,64782,995,4,1,House,Sale,31046,29,2.37,35.8,West
222,12.132251,76.197394,369202,1685,3,1,Villa,Sale,108859,69,2.12,30.86,East
223,8.235494,77.580319,323782,1011,3,3,House,Sale,80281,57,4.31,17.15,West
224,8.774178,79.783881,204204,2475,2,2,House,Sale,51843,35,1.85,4.99,East
225,11.983086,78.94374,77578,3031,2,2,Apartment,Rent,27157,62,4.31,27.82,North
226,11.16731,76.213456,375362,2910,3,4,Apartment,Sale,83352,38,1.67,9.99,South
227,9.933058,77.95685,137566,1037,1,1,Apartment,Rent,97095,36,2.24,21.85,South
228,8.123737,76.596245,312451,2666,5,3,Apartment,Rent,78312,21,7.18,42.44,West
229,9.804008,77.696949,435668,1417,5,4,House,Rent,103118,21,5.5,40.3,South
230,12.644852,78.964995,454818,648,1,4,House,Sale,81570,51,8.24,37.73,West
231,8.159778,78.070584,309545,1191,5,2,House,Rent,83580,55,1.59,43.33,North
232,12.501319,77.212578,210064,645,4,4,House,Rent,36073,48,5.35,17.85,North
233,10.334651,78.261198,258655,742,1,1,House,Sale,20194,42,5.46,13.93,East
234,9.129256,77.247735,412070,3434,2,2,Villa,Sale,67178,61,9.04,4.47,South
235,9.996373,78.719678,301701,3438,2,2,Apartment,Sale,63227,25,6.78,43.51,North
236,12.725088,78.313453,338409,1871,1,4,Villa,Rent,143525,69,6.87,36.04,South
237,9.069048,79.986996,323985,2442,1,2,House,Rent,140326,49,3.11,8.44,East
238,9.08829,79.722877,206958,2346,3,4,House,Rent,29454,49,6.39,8.22,South
239,10.149907,79.773637,423552,1284,2,3,Villa,Sale,79880,22,5.54,3.74,South
240,9.944622,76.506096,97074,3248,2,3,House,Sale,42006,40,8.82,48.4,West
241,10.070262,76.220333,346591,2616,4,4,Apartment,Rent,137198,59,4.81,49.17,West
242,12.087716,76.69476,178118,1683,5,3,Villa,Rent,96470,34,7.62,17.77,West
243,10.723125,76.321536,273279,2569,3,1,Apartment,Rent,110812,52,5.25,7.78,East
244,9.531424,78.534468,427362,578,3,1,Apartment,Sale,36157,33,6.99,19.03,West
245,12.066718,79.653152,124987,2301,5,1,Apartment,Sale,57012,43,6.26,9.29,West
246,11.164447,78.831266,113038,3188,4,4,House,Sale,84402,56,4.95,46.48,West
247,10.923235,77.775695,225575,1354,2,3,House,Rent,124065,53,6.52,47.88,East
248,12.653077,77.089446,55128,1108,4,1,House,Rent,68037,44,5.8,5.1,East
249,12.590711,79.86869,493417,3360,2,1,Apartment,Rent,123158,69,9.84,9.15,West
250,10.298563,76.073034,245892,2918,2,1,Apartment,Rent,88447,28,5.97,17.89,North
251,10.343429,78.661643,318419,3063,1,1,Apartment,Sale,86416,64,6.22,13.67,West
252,8.678795,76.733338,376561,2418,3,1,Villa,Rent,42094,41,3.43,29.6,South
253,8.04424,77.138988,159237,2155,2,2,Apartment,Sale,69982,68,5.28,21.1,North
254,10.834639,78.637857,129364,3621,4,1,Apartment,Sale,115293,30,3.19,29.55,South
255,12.059019,78.558955,228504,2115,2,4,House,Sale,66683,63,9.88,14.89,East
256,12.843978,76.052093,410413,3831,4,4,Apartment,Sale,93798,52,9.7,30.34,South
257,12.996387,78.404633,450201,1885,1,1,Villa,Rent,66033,22,7.28,35.39,West
258,8.57615,79.29671,394792,3722,2,2,Villa,Rent,110482,68,7.55,21.69,West
259,8.208292,76.563795,383471,1476,4,2,Villa,Rent,22300,29,1.59,4.35,East
260,11.937797,77.178669,413573,855,1,4,Villa,Rent,80447,52,6.67,20.39,West
261,8.918744,78.853641,332902,1020,1,2,Villa,Sale,119050,40,2.97,34.98,West
262,11.691206,76.833547,496541,2167,3,4,Villa,Sale,25150,24,7.01,22.06,West
263,9.591918,77.387011,319484,3379,1,4,House,Sale,29911,60,5.88,24.09,North
264,8.888822,79.337567,469895,3080,1,2,Villa,Rent,122467,42,1.3,19.34,North
265,9.100438,78.409813,411845,3665,1,1,House,Sale,127629,62,1.99,31.5,North
266,11.252684,78.769381,151703,3486,1,4,Villa,Sale,26856,37,7.3,9.1,North
267,8.089337,79.362809,272849,3703,3,2,Villa,Sale,91355,36,9.55,25.99,West
268,12.681825,77.545705,106366,3130,3,4,Villa,Sale,142941,43,1.39,10.22,South
269,8.341508,79.182754,458061,2518,2,4,Villa,Sale,35228,22,6.03,9.47,West
270,10.017847,76.038485,377207,3810,3,1,House,Rent,83669,26,6.04,9.54,West
271,9.100158,79.040065,419814,3580,4,4,Villa,Sale,54968,48,5.36,39.49,South
272,11.925479,78.525301,377618,2178,4,2,House,Sale,52866,32,5.46,15.64,South
273,8.421714,76.918858,366052,3714,3,2,Villa,Rent,121577,47,3.2,15.23,North
274,10.466359,79.92339,332223,2031,3,4,House,Rent,55598,60,6.27,22.79,West
275,11.540598,76.602077,398522,2855,1,2,House,Sale,96967,41,2.65,46.2,West
276,12.717944,78.733274,418888,2894,3,4,Apartment,Rent,129500,28,2.53,38.2,West
277,11.177205,78.050361,201292,1721,2,4,Villa,Sale,118407,28,1.83,47.94,West
278,10.692126,77.269943,142821,3886,1,3,House,Sale,76552,60,4.47,18.09,West
279,10.834363,79.91463,128367,1671,4,1,House,Rent,107560,61,4.9,29.32,East
280,9.905323,78.207093,56373,2047,3,3,House,Sale,138460,69,8.16,28.26,East
281,11.668744,77.953028,263446,2618,1,4,Villa,Rent,131648,27,8.97,7.15,South
282,8.473144,77.353788,337005,852,4,3,Villa,Sale,81598,64,9.21,25.5,South
283,12.586243,77.033132,283226,1437,2,1,Villa,Rent,124600,25,9.49,2.08,West
284,10.670194,77.472738,137199,918,4,3,House,Rent,89437,27,9.57,19.05,South
285,12.357039,77.502817,431313,2897,5,2,Apartment,Sale,125424,28,2.83,20.5,North
286,10.012255,79.046974,473539,3914,1,4,House,Sale,97287,69,1.92,49.29,East
287,9.949511,77.274754,111899,2923,2,2,House,Sale,81150,36,5.82,18.12,North
288,12.887254,77.549736,75892,1928,4,2,Villa,Sale,55278,22,7.6,39.89,South
289,10.776128,79.140504,401385,2084,4,4,Apartment,Rent,55913,70,6.23,23.73,South
290,9.242749,76.514513,456419,992,3,4,House,Rent,29437,57,7.06,18.78,North
291,9.847686,76.25121,410266,505,3,4,Villa,Sale,70435,53,6.97,14.88,South
292,8.680873,76.458145,429873,3061,2,4,Apartment,Rent,46435,45,6.73,25.82,East
293,12.945908,76.539583,274796,3788,1,4,Villa,Rent,139325,70,6.48,1.37,North
294,12.955981,79.016056,442949,3719,2,3,Apartment,Rent,90113,35,5.21,11.92,West
295,12.360716,77.655595,278779,2951,1,4,Villa,Rent,125536,42,5.25,8.22,West
296,9.145298,77.649801,470120,1788,1,3,Villa,Sale,114722,61,7.07,16.71,West
297,12.205519,78.267108,372647,2568,2,2,Villa,Rent,65594,53,7.13,14.07,South
298,12.929628,78.308195,117217,2637,1,2,Apartment,Sale,108041,43,1.68,3.92,East
299,9.156788,78.316993,461303,807,3,4,Apartment,Rent,141128,43,8.26,22.15,East
300,11.033085,78.637077,255152,3462,2,2,Apartment,Rent,53502,27,5.27,40.89,North
301,9.163289,78.994326,397071,2046,5,2,Apartment,Rent,40887,28,5.93,18.34,South
302,9.999771,78.094248,271930,733,2,1,Villa,Sale,52496,40,6.5,48.03,West
303,10.797443,78.045217,109773,2408,1,3,House,Sale,95384,68,6.82,18.27,South
304,9.913838,76.37271,388728,3167,3,4,Villa,Sale,108461,33,3.13,7.65,West
305,9.565473,77.158708,192396,2394,3,1,Villa,Rent,147457,36,8.3,30.13,South
306,12.485675,77.696278,460494,3895,2,3,House,Rent,129470,38,8.52,14.16,North
307,12.441301,76.972682,349328,1497,5,4,Apartment,Sale,98617,24,2.18,40.63,North
308,10.761423,76.682627,286683,2951,1,3,Villa,Rent,53975,41,4.0,28.32,South
309,9.61895,76.984697,440483,1962,2,1,Villa,Sale,99457,46,7.12,33.75,North
310,12.604335,78.672496,383602,1903,5,4,Villa,Rent,82436,63,9.96,25.1,West
